ID;FORMA;DATA;QTD;CAT_OBJ;N_CAT;FORMA;REP_ACAO;FONTE;REFERENCIA;ENDERECO;LAT;LONG;CIDADE;BAIRRO
14;Família de advogado morto em confronto com a PM organiza protesto;01/02/2013;;Segurança Pública;17;"	Passeata";Passeata;Gazeta do Povo;PEREIRA, Patricia. Família de advogado morto em confronto com a PM organiza protesto. Gazeta do Povo. Curitiba. 31 jan. 2013. Disponível em: <http://www.gazetadopovo.com.br/vida-e-cidadania/familia-de-advogado-morto-em-confronto-com-a-pm-organiza-protesto-azuun3b6b2xu1rwnpuv7oy9ea>. Acesso em: 29 jun. 2017.;Boca Maldita;-25,432147;-49,275415;Curitiba;Centro
15;Suspensão da greve dos servidores de Araucária;30/03/2016;1000;Trabalho e Direitos Trabalhistas;18;;;Banda B;http://www.bandab.com.br/jornalismo/apos-oito-dias-de-paralisacao-servidores-de-araucaria-decidem-suspender-greve/;Rua Irmã Elizabeth Werka, 55;-25,575390;-49,400498;Araucária;Fazenda Velha
16;Asfalto arrebentado é motivo de protesto;30/11/2009;;Transporte, trânsito e circulação;19;Pneus e madeira queimados na rua;Fechamento de vias públicas;O Popular - Jornal de Araucária e Região;"http://www.opopularpr.com.br/noticias/sem-categoria/asfalto-arrebentado-e-motivo-de-protesto/
";R. Prímula, 2050;-25,627862;-49,367640;Araucária;Campina da Barra
17;População exige asfalto “decente” no Itaipu;11/06/2010;;Transporte, trânsito e circulação;19;Pneus queimados e cartazes;Fechamento de vias públicas;O Popular - Jornal de Araucária e Região;"http://www.opopularpr.com.br/noticias/sem-categoria/populacao-exige-asfalto-decente-no-itaipu/
";Rua das Cerejeiras, 169;-25,369703;-49,257620;Curitiba;Barreirinha
18;Moradores protestam contra demora na entrega de casas;26/04/2012;;Moradia;11;Passeata;Passeata;Parana Online - Tribuna PR;MAZZIOTTI, M. Moradores protestam contra demora na entrega de casas. Paraná Online, Curitiba, 2012;Rua Barão do Rio Branco, 45 - Centro – Curitiba – PR;-25,430523;-49,269050;Curitiba;Centro
19;Moradores interditam BR-116 em protesto contra rua inacabada no Tatuquara;25/11/2010;;Transporte, trânsito e circulação;19;Obstáculos na pista;Fechamento de vias públicas;Banda B;"http://www.bandab.com.br/jornalismo/moradores-interditam-br-116-em-protesto-contra-rua-inacabada-no-tatuquara/
";Rod. Régis Bittencourt, 9;-25,561367;-49,308078;Curitiba;Tatuquara
20;Manisfestantes interditam BR-277 pedindo passarela;27/07/2010;100;Transporte, trânsito e circulação;19;Pneus queimados;Fechamento de vias públicas;Banda B;"http://www.bandab.com.br/jornalismo/manifestantes-interditam-br-277-pedindo-construcao-de-passarela/
";Estr. Curitiba Paranaguá, 8142 (BR 277 - km 72);-25,501580;-49,150562;São José dos Pinhais;Guatupê
21;Moradores da Avenida da Integração fazem novo protesto após inundação de casas;13/01/2014;;Água, esgoto e drenagem;2;Moradores se reuniram para protestar e fecharam a Avenida Integração com caçambas e lixeiras;Fechamento de vias públicas;Banda B;"JUBANSKI, Elizangela; ROMANOWSKI, Roberto. Moradores da Avenida Integração fazem novo protesto após inundação de casas. Banda B. Curitiba, 14 jan. 2014. Disponível em: <http://www.bandab.com.br/jornalismo/moradores-avenida-integracao-manifestacao-apos-inundacao-casas/>. Acesso em: 29 jun. 2017.";Avenida da Integração;-25,406465;-49,206671;Curitiba;Bairro Alto
22;Protesto de motoristas de vans impede saída de passageiros do Aeroporto Afonso Pena;22/08/2012;300;Legislação urbana;9;Fechamento da entrada do Aeroporto Afonso Pena;Fechamento de vias públicas;Gazeta do Povo;"http://www.gazetadopovo.com.br/vida-e-cidadania/motoristas-de-vans-de-curitiba-fazem-protesto-em-sao-jose-dos-pinhais-bell525jqpiwgw1sgsps7s5se
";Avenida Rocha Pombo, 950;-25,536120;-49,178047;São José dos Pinhais;São Cristóvão
23;Moradores de Curitiba e região protestam contra falta de segurança;13/02/2007;;Segurança Pública;17;;;Gazeta do Povo;MORADORES de Curitiba e região protestam contra falta de segurança. Gazeta do Povo. Curitiba. 13 fev. 2007. Disponível em: <www.gazetadopovo.com.br/vidaecidadania/conteudo.phtml?id=636528&tit=Moradores-de-Curitiba-e-regiao-protestam-contra-falta-de-seguranca>. Acesso em: 29 jun. 2017.;Avenida Anita Garibaldi, 4610;-25,372844;-49,262873;Curitiba;Barreirinha
